number,latency,type,duration
632,499115,3,0
633,499729,3,0
634,500344,4,0
635,500958,3,0
636,501572,3,0
637,502186,3,0
638,502800,3,0
639,503415,3,0
640,504029,3,0
641,504643,3,0
642,505257,3,0
643,515376,3,0
644,515990,3,0
645,516604,3,0
646,517218,3,0
647,517833,3,0
648,518447,3,0
649,519061,3,0
650,519675,3,0
651,520289,4,0
652,520904,3,0
653,521518,3,0
654,522132,3,0
655,522746,3,0
656,523361,3,0
657,523975,3,0
658,524589,3,0
659,525203,3,0
660,525817,3,0
661,526432,3,0
662,527046,3,0
663,527660,3,0
664,528274,3,0
665,528889,4,0
666,529503,3,0
667,530117,3,0
668,530731,3,0
669,531346,3,0
670,531960,3,0
671,532574,3,0
672,533188,3,0
673,533803,3,0
674,534417,3,0
675,535031,3,0
676,535645,3,0
677,536259,3,0
678,536874,3,0
679,537488,4,0
680,538102,3,0
681,538716,3,0
682,539331,3,0
683,539945,3,0
684,540559,3,0
685,541173,3,0
686,541788,3,0
687,542402,3,0
688,543016,3,0
689,543630,3,0
690,544245,3,0
691,544859,3,0
692,545473,3,0
693,546087,3,0
694,546701,3,0
695,547316,4,0
696,547930,3,0
697,548544,3,0
698,549158,3,0
699,549773,3,0
700,550387,3,0
701,551001,3,0
702,551615,3,0
703,552230,3,0
704,552844,3,0
705,553458,3,0
706,554072,3,0
707,554686,3,0
708,555301,3,0
709,555915,4,0
710,556529,3,0
711,557143,3,0
712,557758,3,0
713,558372,3,0
714,558986,3,0
715,559601,3,0
716,560215,3,0
717,560829,3,0
718,561443,3,0
719,562057,3,0
720,562672,3,0
721,563286,3,0
722,563900,3,0
723,564514,3,0
724,565129,4,0
725,565743,3,0
726,566357,3,0
727,566971,3,0
728,567586,3,0
729,568200,3,0
730,568814,3,0
731,569428,3,0
732,570042,3,0
733,570657,3,0
734,571271,3,0
735,571885,3,0
736,572499,3,0
737,573114,3,0
738,573728,3,0
739,574342,3,0
740,574956,3,0
741,575571,4,0
742,576185,3,0
743,587685,3,0
744,588299,3,0
745,588913,3,0
746,589528,3,0
747,590142,3,0
748,590756,3,0
749,591370,3,0
750,591985,3,0
751,592599,3,0
752,593213,3,0
753,593827,3,0
754,594441,3,0
755,595056,3,0
756,595670,3,0
757,596284,4,0
758,596898,3,0
759,597513,3,0
760,598127,3,0
761,598741,3,0
762,599355,3,0
763,599970,3,0
764,600584,3,0
765,601198,3,0
766,601812,3,0
767,602427,3,0
768,603041,3,0
769,603655,3,0
770,604269,3,0
771,604883,3,0
772,605498,3,0
773,606112,3,0
774,606726,4,0
775,607340,3,0
776,607955,3,0
777,608569,3,0
778,609183,3,0
779,609797,3,0
780,610412,3,0
781,611026,3,0
782,611640,3,0
783,612254,3,0
784,612869,4,0
785,613483,3,0
786,614097,3,0
787,614711,3,0
788,615325,3,0
789,615940,3,0
790,616554,3,0
791,617168,3,0
792,617782,3,0
793,618397,4,0
794,619011,3,0
795,619625,3,0
796,620239,3,0
797,620854,3,0
798,621468,3,0
799,622082,3,0
800,622696,3,0
801,623310,3,0
802,623925,3,0
803,624539,4,0
804,625153,3,0
805,625768,3,0
806,626382,3,0
807,626996,3,0
808,627610,3,0
809,628224,3,0
810,628839,3,0
811,629453,3,0
812,630067,3,0
813,630681,3,0
814,631296,3,0
815,631910,3,0
816,632524,3,0
817,633138,3,0
818,633753,3,0
819,634367,3,0
820,634981,4,0
821,635595,3,0
822,636210,3,0
823,636824,3,0
824,637438,3,0
825,638052,3,0
826,638666,3,0
827,639281,3,0
828,639895,3,0
829,640509,3,0
830,641123,3,0
831,641738,3,0
832,642352,3,0
833,642966,3,0
834,643580,3,0
835,644195,3,0
836,644809,3,0
837,645423,3,0
838,646037,3,0
839,646652,4,0
840,647266,3,0
841,647880,3,0
842,648494,3,0
843,659346,3,0
844,659960,3,0
845,660575,3,0
846,661188,3,0
847,661803,3,0
848,662417,3,0
849,663031,3,0
850,663646,3,0
851,664260,3,0
852,664874,3,0
853,665488,3,0
854,666102,4,0
855,666717,3,0
856,667331,3,0
857,667945,3,0
858,668559,3,0
859,669174,3,0
860,669788,3,0
861,670402,3,0
862,671016,3,0
863,671631,3,0
864,672245,4,0
865,672859,3,0
866,673473,3,0
867,674088,3,0
868,674702,3,0
869,675316,3,0
870,675930,3,0
871,676544,3,0
872,677159,3,0
873,677773,3,0
874,678387,3,0
875,679001,3,0
876,679616,3,0
877,680230,3,0
878,680844,3,0
879,681458,3,0
880,682073,4,0
881,682687,3,0
882,683301,3,0
883,683915,3,0
884,684530,3,0
885,685144,3,0
886,685758,3,0
887,686372,3,0
888,686987,3,0
889,687601,3,0
890,688215,3,0
891,688829,3,0
892,689444,3,0
893,690058,3,0
894,690672,3,0
895,691286,3,0
896,691900,3,0
897,692515,3,0
898,693129,4,0
899,693743,3,0
900,694358,3,0
901,694972,3,0
902,695586,3,0
903,696200,3,0
904,696814,3,0
905,697429,3,0
906,698043,3,0
907,698657,3,0
908,699271,4,0
909,699886,3,0
910,700500,3,0
911,701114,3,0
912,701728,3,0
913,702343,3,0
914,702957,3,0
915,703571,3,0
916,704185,3,0
917,704800,3,0
918,705414,3,0
919,706028,3,0
920,706642,4,0
921,707257,3,0
922,707871,3,0
923,708485,3,0
924,709099,3,0
925,709713,3,0
926,710328,3,0
927,710942,3,0
928,711556,3,0
929,712170,3,0
930,712785,3,0
931,713399,3,0
932,714013,3,0
933,714627,3,0
934,715242,3,0
935,715856,3,0
936,716470,4,0
937,717084,3,0
938,717699,3,0
939,718313,3,0
940,718927,3,0
941,719541,3,0
942,720156,3,0
943,730154,3,0
944,730768,3,0
945,731383,3,0
946,731997,3,0
947,732611,3,0
948,733225,3,0
949,733839,3,0
950,734454,3,0
951,735068,3,0
952,735682,3,0
953,736296,3,0
954,736911,3,0
955,737525,3,0
956,738139,3,0
957,738753,3,0
958,739367,3,0
959,739982,4,0
960,740596,3,0
961,741210,3,0
962,741824,3,0
963,742439,3,0
964,743053,3,0
965,743667,3,0
966,744281,3,0
967,744896,3,0
968,745510,3,0
969,746124,3,0
970,746738,3,0
971,747352,3,0
972,747967,4,0
973,748581,3,0
974,749195,3,0
975,749809,3,0
976,750424,3,0
977,751038,3,0
978,751652,3,0
979,752266,3,0
980,752881,3,0
981,753495,3,0
982,754109,3,0
983,754723,3,0
984,755338,3,0
985,755952,4,0
986,756566,3,0
987,757180,3,0
988,757795,3,0
989,758409,3,0
990,759023,3,0
991,759637,3,0
992,760251,3,0
993,760866,3,0
994,761480,3,0
995,762094,3,0
996,762708,3,0
997,763323,4,0
998,763937,3,0
999,764551,3,0
1000,765166,3,0
1001,765780,3,0
1002,766394,3,0
1003,767008,3,0
1004,767622,3,0
1005,768237,3,0
1006,768851,3,0
1007,769465,3,0
1008,770079,3,0
1009,770694,3,0
1010,771308,3,0
1011,771922,4,0
1012,772536,3,0
1013,773151,3,0
1014,773765,3,0
1015,774379,3,0
1016,774993,3,0
1017,775608,3,0
1018,776222,3,0
1019,776836,3,0
1020,777450,3,0
1021,778065,3,0
1022,778679,3,0
1023,779293,3,0
1024,779907,3,0
1025,780521,3,0
1026,781136,3,0
1027,781750,3,0
1028,782364,3,0
1029,782978,3,0
1030,783593,4,0
1031,784207,3,0
1032,784821,3,0
1033,785435,3,0
1034,786050,3,0
1035,786664,3,0
1036,787278,3,0
1037,787892,3,0
1038,788507,3,0
1039,789121,3,0
1040,789735,3,0
1041,790349,4,0
1042,790963,3,0
1043,801832,3,0
1044,802446,3,0
1045,803061,3,0
1046,803675,3,0
1047,804289,3,0
1048,804903,3,0
1049,805517,3,0
1050,806132,3,0
1051,806746,3,0
1052,807360,3,0
1053,807974,4,0
1054,808589,3,0
1055,809203,3,0
1056,809817,3,0
1057,810431,3,0
1058,811046,3,0
1059,811660,3,0
1060,812274,3,0
1061,812888,3,0
1062,813503,3,0
1063,814117,3,0
1064,814731,3,0
1065,815345,3,0
1066,815960,3,0
1067,816574,3,0
1068,817188,4,0
1069,817802,3,0
1070,818416,3,0
1071,819031,3,0
1072,819645,3,0
1073,820259,3,0
1074,820873,3,0
1075,821488,3,0
1076,822102,3,0
